"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/e5662f0d4f3e7730aea1a0faf7ff09ea20184700/6ca0b/images/dgqlkqjtmk.png","258821","webdevhub logo","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/header/div[@class='inner']/div/div/p/a/img","Header","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/projects/","https://d33wubrfki0l68.cloudfront.net/e5662f0d4f3e7730aea1a0faf7ff09ea20184700/6ca0b/images/dgqlkqjtmk.png","258821","webdevhub logo","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/header/div[@class='inner']/div/div/p/a/img","Header","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/content/","https://d33wubrfki0l68.cloudfront.net/e5662f0d4f3e7730aea1a0faf7ff09ea20184700/6ca0b/images/dgqlkqjtmk.png","258821","webdevhub logo","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/header/div[@class='inner']/div/div/p/a/img","Header","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/reference/","https://d33wubrfki0l68.cloudfront.net/e5662f0d4f3e7730aea1a0faf7ff09ea20184700/6ca0b/images/dgqlkqjtmk.png","258821","webdevhub logo","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/header/div[@class='inner']/div/div/p/a/img","Header","HTML"
"Image","https://bgoonz-blog.netlify.app/blog/platform-docs/","https://d33wubrfki0l68.cloudfront.net/e5662f0d4f3e7730aea1a0faf7ff09ea20184700/6ca0b/images/dgqlkqjtmk.png","258821","webdevhub logo","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/header/div[@class='inner']/div/div/p/a/img","Header","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/tutorials/","https://d33wubrfki0l68.cloudfront.net/e5662f0d4f3e7730aea1a0faf7ff09ea20184700/6ca0b/images/dgqlkqjtmk.png","258821","webdevhub logo","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/header/div[@class='inner']/div/div/p/a/img","Header","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/community/","https://d33wubrfki0l68.cloudfront.net/e5662f0d4f3e7730aea1a0faf7ff09ea20184700/6ca0b/images/dgqlkqjtmk.png","258821","webdevhub logo","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/header/div[@class='inner']/div/div/p/a/img","Header","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/docs/","https://d33wubrfki0l68.cloudfront.net/e5662f0d4f3e7730aea1a0faf7ff09ea20184700/6ca0b/images/dgqlkqjtmk.png","258821","webdevhub logo","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/header/div[@class='inner']/div/div/p/a/img","Header","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/articles/","https://d33wubrfki0l68.cloudfront.net/e5662f0d4f3e7730aea1a0faf7ff09ea20184700/6ca0b/images/dgqlkqjtmk.png","258821","webdevhub logo","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/header/div[@class='inner']/div/div/p/a/img","Header","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/quick-reference/","https://d33wubrfki0l68.cloudfront.net/e5662f0d4f3e7730aea1a0faf7ff09ea20184700/6ca0b/images/dgqlkqjtmk.png","258821","webdevhub logo","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/header/div[@class='inner']/div/div/p/a/img","Header","HTML"
