"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status"
"https://img.shields.io/badge/-MongoDB-05122A?style=flat&logo=mongodb","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://api.netlify.com/api/v1/badges/a1b7ee1a-11a7-4bd2-a341-2260656e216f/deploy-status","image/svg+xml","0","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/b7d9a8db0d3618dc455abcd5a1eba992281ab78a/2f5a7/images/smiling-maple.png","image/png","360596","1","Indexable",""
"https://img.shields.io/badge/-Node.js-05122A?style=flat&logo=node.js","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://img.shields.io/badge/-CSS-05122A?style=flat&logo=CSS3&logoColor=1572B6","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://api.searchbar.org/img/logo.svg","image/svg+xml","0","33","Indexable",""
"https://img.shields.io/badge/-Git-05122A?style=flat&logo=git","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://img.shields.io/badge/-Markdown-05122A?style=flat&logo=markdown","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://img.shields.io/badge/-Visual%20Studio%20Code-05122A?style=flat&logo=visual-studio-code&logoColor=007ACC","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://img.shields.io/badge/-GitLab-05122A?style=flat&logo=gitlab","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://img.icons8.com/color/96/000000/linkedin.png","image/png","1374","3","Indexable",""
"https://img.icons8.com/color/96/000000/pinterest--v1.png","image/png","3905","2","Indexable",""
"https://img.shields.io/badge/-Docker-05122A?style=flat&logo=Docker","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/beba3d8052852cedc7fd41d9d05b4dffd4ea1136/d32f7/images/spectacular-turmeric.png","image/png","93739","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/0acc9a99716e3820bc8a6fa4fc9a5988e380f214/932fa/images/njdev-219301cd.jpg","image/jpeg","15401","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/f776b2f35588e0ab71789925ce9564924154c4cf/df9d3/images/jamstack.png","image/png","99924","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/e5662f0d4f3e7730aea1a0faf7ff09ea20184700/6ca0b/images/dgqlkqjtmk.png","image/png","258821","174","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/b6e6b09f4479310dff86d8dd7af1b73762484f6a/fea3e/images/image-of-resume.png","image/png","474302","1","Indexable",""
"https://img.icons8.com/color/96/000000/instagram-new.png","image/png","6865","3","Indexable",""
"https://img.shields.io/badge/-GitHub-05122A?style=flat&logo=github","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/5526a12bf60878b9f11c4907281345111ecb1b23/e8d70/images/my-back.png","image/png","983886","1","Indexable",""
"https://tinify-bucket.s3-us-west-1.amazonaws.com/blm-blue-round.png","image/png","6573","34","Indexable",""
"https://bgoonz-blog.netlify.app/images/cool%20annimation.gif","image/gif","16459557","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/589475503098710e5f2f3c1a381015f69e6b4760/0be4d/images/neural.png","image/png","233045","1","Indexable",""
"https://img.shields.io/badge/-Python-05122A?style=flat&logo=python","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/0632d060c928c60c91038c13991f85f0928bd723/edbf6/images/panoramic-owl.png","image/png","104133","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=Common-npm-Readme-Compilation","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=Front-End-Frameworks-Practice","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=commercejs-nextjs-demo-store","image/svg+xml; charset=utf-8","0","1","Indexable",""
